,cod,name,,numeros
0,05,ANTIOQUIA,1,1
1,08,ATLANTICO,1,1
2,11,SANTAFE DE BOGOTA D.C,1,1
3,13,BOLIVAR,1,1
4,15,BOYACA,1,1
5,17,CALDAS,1,1
6,18,CAQUETA,1,1
7,19,CAUCA,1,1
8,20,CESAR,1,1
9,23,CORDOBA,1,1
10,25,CUNDINAMARCA,1,1
11,27,CHOCO,1,1
12,41,HUILA,1,1
13,44,LA GUAJIRA,1,1
14,47,MAGDALENA,1,1
15,50,META,1,1
16,52,NARIÑO,1,1
17,54,NORTE DE SANTANDER,1,1
18,63,QUINDIO,1,1
19,66,RISARALDA,1,1
20,68,SANTANDER,1,1
21,70,SUCRE,1,1
22,73,TOLIMA,1,1
23,76,VALLE DEL CAUCA,1,1
24,81,ARAUCA,1,1
25,85,CASANARE,1,1
26,86,PUTUMAYO,1,1
27,91,AMAZONAS,1,1
28,94,GUAINIA,1,1
29,95,GUAVIARE,1,1
30,97,VAUPES,1,1
31,99,VICHADA,1,1
